date,dataset,metric,value
2023-11-10 00:00:00.000,O_DUSCIS_FINAL,count,29231739
2023-10-02 00:00:00.000,O_DUSCIS_FINAL,count,57159682
2023-11-02 00:00:00.000,ledger_na,count,477160
2023-10-03 00:00:00.000,O_DUSCIS_FINAL,count,52854693
2023-10-03 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,45202324
2023-10-21 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,17162541.76000024
2023-10-08 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,38162571
2023-10-09 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,47904140
2023-10-17 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,33080500
2023-10-23 00:00:00.000,O_DUSCIS_FINAL,count,58134030
2023-11-08 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,46887358
2023-11-02 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,42769497
2023-10-26 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,wht_found,14951606.299999056
2023-10-20 00:00:00.000,ledger_na,count,308035843
2023-09-24 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,20163602
2023-10-04 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,44688618
2023-10-25 00:00:00.000,ledger_na,count,93584916
2023-10-19 00:00:00.000,O_DUSCIS_FINAL,count,52033319
2023-10-11 00:00:00.000,ledger_na,count,107860286
2023-11-05 00:00:00.000,ledger_na,count,13326
2023-11-05 00:00:00.000,D_PERFECTMILE_PACKAGE_ITEMS_V2_NA,count,43391609
2023-10-29 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,20979557
2023-10-06 00:00:00.000,O_DUSCIS_FINAL,count,47523787
2023-10-01 00:00:00.000,ledger_na,count,82014906
2023-10-20 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_coverage_rate,0.53
2023-10-25 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,30419363
2023-10-20 00:00:00.000,O_DUSCIS_FINAL,count,48711278
2023-10-10 00:00:00.000,ledger_na,count,95346732
2023-10-07 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,23673791
2023-10-29 00:00:00.000,ledger_na_CUSTOMER_OUTBOUND_METRICS,ib_found,8693154.710000219
2023-10-18 00:00:00.000,ledger_na,count,306599244
2023-10-06 00:00:00.000,AMRITA_OUTBOUND_CI_PACKAGE_NA,count,28068471
